Formula,Vacuum level
Hf4I4O4,3.845
Hf4I4S4,3.933
Hf4I4Se4,4.013
Hf4N3,8.014
Hf4N3O2,8.012
HfAs2,4.6485
HfAsSb,4.9735
HfBr2,3.9563333333333333
HfBrCl,4.066
HfBrI,4.2515
HfCl2,4.035333333333333
HfClI,4.2535
HfF2,3.393
HfH2,2.536
HfH2O2,2.504
HfI2,4.222333333333333
HfLi2,2.629
HfMnF6,2.493
HfMnI6,3.218
HfNa2H6O6,0.787
HfNiBr6,2.889
HfNiCl6,2.885
HfNiI6,3.287
HfO2,3.0556666666666668
HfPd2,1.265
HfS2,3.5080000000000005
HfSSe,3.7875
HfSTe,3.916
HfSb2,5.9595
HfSe2,3.594
HfSeTe,3.9695
HfTe2,3.7093333333333334
HfTi3S8,3.881
HfTi3Se8,3.987
HfTi3Te8,4.143
HfZr3S8,3.926
HfZr3Se8,4.012
HfZr3Te8,4.163
Hg2Br2,3.6395
Hg2Br2N2,3.756
Hg2Br2O2,3.451
Hg2Br2S2,4.262
Hg2Br2Se2,4.713
Hg2Cl2,3.6369999999999996
Hg2Cl2N2,3.72
Hg2Cl2O2,3.416
Hg2Cl2S2,4.027
Hg2Cl2Se2,4.017
Hg2F2,3.726
Hg2GeO4,0.908
Hg2I2,3.6895
Hg2I2N2,4.184
Hg2I2O2,3.894
Hg2I2S2,3.831
Hg2I2Se2,4.728
Hg2K4Cl8,1.22
Hg2O4,2.671
Hg2P2S6,3.575
Hg2P2Se6,3.621
Hg2P2Te6,3.762
Hg2Pt4Se6,2.641
Hg2Se2,3.351
Hg2Te2,3.415
Hg2Te4,4.382
Hg2V2O6,1.115
Hg3B2O6,0.585
Hg4I8,1.329
Hg4K2Cl6O6S2,2.463
Hg4Mo2O8,1.731
Hg4W2O8,1.772
HgBr2,2.7693333333333334
HgCl2,2.7693333333333334
HgF2,1.598
HgH2O2,1.507
